player_id,name,position,team,injury_status,fantasy_positions,adp,proj_points
7254,Azur Kamara,DE,,,['LB'],,
12425,Alex Gubner,DT,,,['DL'],,
12946,Dontae Fleming,WR,MIN,,['WR'],,
7471,David Reese,LB,,,['LB'],,
955,Isa Abdul-Quddus,FS,,,['DB'],,
2790,Nigel King,WR,,,['WR'],,
8158,Carson Strong,QB,,,['QB'],,
6610,Demetrius Flannigan-Fowles,LB,NYG,,"['DB', 'LB']",,
7762,James Wiggins,DB,,,['DB'],,
400,Vaughn Martin,DT,,,['DL'],,
12353,Jack Freeman,OL,,,['OL'],,
3222,Deion Jones,LB,TB,,['LB'],,
3152,Andy Reid,,,,,,
1847,Jemea Thomas,CB,,,['DB'],,
5659,John Atkins,DT,,,['DL'],,
7906,Mike Brown,OL,,,['OL'],,
11651,Isaac Guerendo,RB,SF,,['RB'],,
6183,Andrew Van Ginkel,LB,MIN,,"['DL', 'LB']",,
8613,Taysir Mack,WR,,,['WR'],,
2462,J.J. Nelson,WR,,,['WR'],,
8736,Elijah Garcia,DT,NYG,,['DL'],,
1302,Michael Wilhoite,LB,,,['LB'],,
853,Jeff Maehl,WR,,,['WR'],,
12385,Jude McAtamney,K,NYG,,['K'],,
8919,Ayo Oyelola,DB,,,['DB'],,
11905,Dwight McGlothern,DB,MIN,,['DB'],,
11458,Matthew Jackson,DB,,,['DB'],,
11308,Deslin Alexandre,DE,GB,,['DL'],,
3866,Joe Hansley,WR,,,['WR'],,
185,Charles Tillman,CB,,,['DB'],,
5215,Tray Matthews,FS,,,['DB'],,
5871,Zach Allen,DE,DEN,,['DL'],,
6604,Mathieu Betts,DL,,,['DL'],,
1190,Tyrunn Walker,DT,,,['DL'],,
12386,Christian Duffie,OT,,,['OT'],,
7353,Bryce Sterk,TE,,,['DL'],,
10884,Broderick Jones,OL,PIT,Questionable,['OL'],,
6246,Jeremy Cox,RB,,,['RB'],,
12903,Eli Mostaert,DT,JAX,,['DL'],,
11659,Graham Barton,OL,TB,,['OL'],,
6237,Wilton Speight,QB,,,['QB'],,
3746,Darreon Herring,ILB,,,['LB'],,
3950,Joe Powell,SS,,,['DB'],,
3846,Duke Williams,WR,,Questionable,['WR'],,
6392,Johnathan Lloyd,WR,,,['WR'],,
8272,Channing Tindall,LB,MIA,,['LB'],,
817,Jeremy Kerley,WR,,,['WR'],,
8831,Ethan Fernea,WR,,,['WR'],,
8751,Dylan Parham,TE,,,['TE'],,
2313,Vic Beasley,DE,,,"['DL', 'LB']",,
11189,Zay Malone,WR,,,['WR'],,
1405,Barkevious Mingo,LB,,,"['DB', 'LB']",,
3593,Anthony Kelly,WR,,,['WR'],,
28,Aaron Ross,CB,,,['DB'],,
12664,Jackson Slater,OL,TEN,,['OL'],,
2360,Maxx Williams,TE,,,['TE'],,
7223,Jason Ferris,LB,,,['LB'],,
6369,Khairi Clark,DL,,,['DL'],,
1474,Stacy McGee,DT,,,['DL'],,
830,A.J. Green,WR,,,['WR'],,
1981,Deandre Coleman,DT,,,['DL'],,
1222,Bobby Massie,T,,,"['OL', 'OT']",,
12592,Jared Wilson,OL,NE,,['OL'],,
8932,Lucas Havrisik,K,,,['K'],,
11960,Steven Stilianos,TE,,,['TE'],,
6353,Troy Reeder,LB,LAR,,['LB'],,
11578,Player Invalid,RB,,,['RB'],,
2956,Brett Jones,C,,Questionable,['OL'],,
5504,Mackendy Cheridor,DE,,,['DL'],,
8587,Josh Drayden,CB,,Questionable,['DB'],,
12453,Ontaria Wilson,WR,,,['WR'],,
2737,Eric Crume,DT,,,['DL'],,
459,David Hawthorne,LB,,,['LB'],,
8600,Ellis Brooks,LB,,,['LB'],,
7815,K.J. Britt,LB,MIA,,['LB'],,
12700,Gavin Bartholomew,TE,MIN,PUP,['TE'],,
8068,C.J. Saunders,WR,,,['WR'],,
11339,Brandon Joseph,DB,,,['DB'],,
4378,Thomas Evans,G,,,['OL'],,
4318,Tyler Catalina,G,,,['OL'],,
12794,Benjamin Chukwuma,OL,TB,,['OL'],,
7638,Alijah Vera-Tucker,OL,NYJ,,"['OG', 'OL']",,
733,Perry Riley,LB,,,['LB'],,
8766,Antonio Valentino,DT,,,['DL'],,
5977,Terry Godwin,WR,,,['WR'],,
3990,Adam Bighill,ILB,,,['LB'],,
3271,Tyler Higbee,TE,LAR,,['TE'],,
2131,Larry Webster,DE,,,['DL'],,
12148,Matthew Jones,G,,,['OL'],,
2211,Ty Zimmerman,S,,,['DB'],,
11267,Aron Cruickshank,WR,,,['WR'],,
2906,Bell Braylon,WR,,,['WR'],,
6760,Jonathan Kongbo,DE,,,['DL'],,
3375,Travis Feeney,OLB,,,['LB'],,
12138,Anthony Goodlow,DE,ARI,,['DL'],,
7524,Player Invalid,WR,,,['WR'],,
12823,Joe Evans,DT,PHI,,['DL'],,
8260,Gabe Brkic,K,,,['K'],,
8556,Denzel Williams,DB,,,['DB'],,
1502,Chris Thompson,RB,,,['RB'],,
1099,Randy Bullock,K,,,['K'],,
12761,Jordan Moore,WR,CIN,,['WR'],,
1820,Terrence Fede,DE,,,['DL'],,
4800,Mike Tomlin,,,,,,
72,Kevin Walter,WR,,,['WR'],,
2843,Gabe Martin,OLB,,,['LB'],,
2882,Jimmy Hall,OLB,,,['LB'],,
2629,Sam Meredith,DE,,,['DL'],,
11369,Alex Jensen,OL,,,['OL'],,
7457,Michael Dereus,WR,,,['WR'],,
12109,Caleb Nelson,CB,,,['DB'],,
11939,Ryan Coll,OT,,,['OT'],,
7174,Juwan Green,WR,,,['WR'],,
12940,Tre Stewart,RB,MIN,,['RB'],,
4975,Taven Bryan,DE,CIN,,['DL'],,
2342,Devin Smith,WR,,,['WR'],,
8618,Marcelino McCrary-Ball,LB,NYJ,,['LB'],,
10896,John Michael Schmitz,OL,NYG,,['OL'],,
3208,Kenneth Dixon,RB,,,['RB'],,
4988,Nick Chubb,RB,HOU,,['RB'],,
13081,Xavier Carlton,LB,CHI,,['LB'],,
4778,Reggie Davis,WR,,,['WR'],,
1535,Cordarrelle Patterson,RB,,,['RB'],,
11979,DeAngelo Hardy,DB,,,['DB'],,
5833,Kevin O'Connell,QB,,,['QB'],,
3424,De'Vante Harris,CB,,,['DB'],,
11638,Ricky Pearsall,WR,SF,,['WR'],,
12514,Emeka Egbuka,WR,TB,,['WR'],,
7605,Kyle Trask,QB,TB,,['QB'],,
1047,Kelcie McCray,SS,,,['DB'],,
1668,Carson Tinker,LS,,,['LS'],,
7711,Tommy Togiai,DT,HOU,,['DL'],,
4347,Daniel Henry,FS,BAL,,['DB'],,
8218,Max Borghi,RB,,,['RB'],,
5312,Rick Leonard,OT,,,"['OL', 'OT']",,
3428,Mehdi Abdesmad,DE,,,['DL'],,
12791,Ryan Coe,K,TB,,['K'],,
5741,Steven Parker,DB,,,['DB'],,
263,Robert Mathis,LB,,,['LB'],,
6772,Anthony Weaver,,,,,,
8461,Nicholas Petit-Frere,T,,,['OL'],,
7435,Cameron Scarlett,RB,,,['RB'],,
8859,DQ Thomas,LB,,,['LB'],,
11094,Thomas Rush,LB,,,['LB'],,
11077,Jack Podlesny,K,,,['K'],,
4715,Darnell Leslie,DE,,,['DL'],,
2059,Davon Coleman,DT,,,['DL'],,
11188,Ikenna Enechukwu,DL,,,['DL'],,
1891,Ryan Hewitt,TE,,,['TE'],,
5794,Simeyon Robinson,DE,,,['DL'],,
12162,Ethan Driskell,OL,KC,,['OL'],,
4789,Jarell Carter,CB,,,['DB'],,
2738,Ikponmwosa Igbinosun,DE,,,['DL'],,
1325,Loni Fangupo,NT,,,['DL'],,
6995,Carlos Davis,DT,,,['DL'],,
6317,Jacob Dolegala,QB,,,['QB'],,
7569,Nico Collins,WR,HOU,,['WR'],,
8784,Devin Cochran,OL,CIN,,['OL'],,
7765,Jonathon Cooper,DL,DEN,,['DL'],,
12247,Julian Pearl,T,CLE,,,,
664,Will Allen,SS,,,['DB'],,
2273,Garry Gilliam,T,,,['OL'],,
3421,Sterling Bailey,DE,,,['DL'],,
242,Brent Grimes,CB,,,['DB'],,
12987,Kendall Paul,DB,,,['DB'],,
11427,Christian Izien,DB,TB,,['DB'],,
4820,David Rivers,CB,,,['DB'],,
4771,Greg Van Roten,OG,NYG,,"['OG', 'OL']",,
