Player,position,Avg,Ret,Yds,KRet TD,20+,40+,Lng,FC,FUM
Pierre Strong,RB,23.2,11,255,0,9,0,27,0,0
Ronnie Bell,WR,23,1,23,0,1,0,23,0,0
John Kelly,RB,23,2,46,0,2,0,24,0,0
Trey Sermon,RB,23,1,23,0,1,0,23,0,0
Jalen Reagor,WR,22,1,22,0,1,0,22,0,0
Cordarrelle Patterson,RB,21.8,11,240,0,6,0,33,0,0
Tim Jones,WR,21.5,2,43,0,2,0,23,0,0
Skyy Moore,WR,21.5,2,43,0,1,0,28,0,0
Kendric Pryor,WR,21.5,2,43,0,1,0,24,0,0
Emari Demercado,RB,21.3,3,64,0,2,0,26,0,0
Treylon Burks,WR,21,1,21,0,1,0,21,0,0
Ray Davis,RB,21,7,147,0,5,0,26,0,0
Raheem Mostert,RB,21,2,42,0,1,0,23,0,0
Cody Thompson,WR,21,1,21,0,1,0,21,0,0
Mason Tipton,WR,21,1,21,0,1,0,21,0,0
Myles Gaskin,RB,20,3,60,0,1,0,26,0,0
Trayveon Williams,RB,19.4,5,97,0,3,0,23,0,0
Jordan Mims,RB,19,1,19,0,0,0,19,0,0
James Proche,WR,19,1,19,0,0,0,19,1,0
Gary Brightwell,RB,18,2,36,0,1,0,24,0,0
Keilan Robinson,RB,17,2,34,0,1,0,20,0,0
Ainias Smith,WR,17,1,17,0,0,0,17,0,0
Bo Melton,WR,15,1,15,0,0,0,15,0,0
Jordan Mason,RB,14.5,2,29,0,1,0,29,0,0
Trey Palmer,WR,14,1,14,0,0,0,14,0,0
Miles Sanders,RB,14,1,14,0,0,0,14,0,0
Montrell Washington,WR,14,1,14,0,0,0,14,0,0
Dare Ogunbowale,RB,12,1,12,0,0,0,12,0,0
