Player,position,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Chris Collier,RB,1,-4,0,0,0,-4,0,0,0,1,2
Dalvin Cook,RB,1,10,0,0,0,10,1,100,0,7,1
Jaelon Darden,WR,1,6,0,0,0,6,1,100,0,9,1
Zach Davidson,TE,1,5,0,0,0,5,0,0,0,2,2
Ross Dwelley,TE,1,5,0,0,0,5,0,0,0,4,1
John FitzPatrick,TE,1,2,0,0,0,2,0,0,0,0,1
Feleipe Franks,TE,1,12,0,0,0,12,1,100,0,0,3
Myles Gaskin,RB,1,11,0,0,0,11,0,0,0,13,1
Jared Goff,QB,1,7,1,0,0,7,1,100,0,2,1
Anthony Gould,WR,1,23,0,1,0,23,1,100,0,5,1
George Holani,RB,1,-1,0,0,0,-1,0,0,0,0,1
Jha'Quan Jackson,WR,1,8,0,0,0,8,1,100,0,2,3
Jermar Jefferson,RB,1,10,0,0,0,10,1,100,0,10,1
E.J. Jenkins,TE,1,7,1,0,0,7,1,100,0,3,2
Brandon Johnson,RB,1,9,0,0,0,9,0,0,0,4,1
Brandon Johnson,WR,1,9,0,0,0,9,0,0,0,4,1
Collin Johnson,WR,1,6,0,0,0,6,1,100,0,3,2
Charlie Jones,WR,1,5,0,0,0,5,0,0,0,0,1
Ramel Keyton,WR,1,7,0,0,0,7,1,100,0,0,3
Jacob Kibodi,RB,1,15,0,0,0,15,1,100,0,11,3
Marcedes Lewis,TE,1,2,0,0,0,2,1,100,0,1,1
MarShawn Lloyd,RB,1,3,0,0,0,3,0,0,0,8,1
Patrick Mahomes,QB,1,2,0,0,0,2,0,0,0,3,1
Tay Martin,WR,1,49,1,1,1,49,1,100,0,5,2
David Martin-Robinson,TE,1,6,0,0,0,6,1,100,0,6,2
Anthony Miller,WR,1,16,0,0,0,16,1,100,0,1,1
Keaton Mitchell,RB,1,28,0,1,0,28,1,100,0,33,1
Bo Nix,QB,1,2,1,0,0,2,1,100,0,0,1
Kendric Pryor,WR,1,9,0,0,0,9,0,0,0,0,1
Anthony Richardson,QB,1,-1,0,0,0,-1,0,0,0,7,1
John Ross,WR,1,6,0,0,0,6,1,100,0,2,2
Cody Schrader,RB,1,6,0,0,0,6,0,0,0,6,1
Tyler Scott,WR,1,5,0,0,0,5,0,0,0,7,1
Tyrell Shavers,WR,1,69,1,1,1,69,1,100,0,71,1
Geoff Swaim,TE,1,7,0,0,0,7,0,0,0,5,1
Trent Taylor,WR,1,11,0,0,0,11,0,0,0,2,1
Brycen Tremayne,WR,1,-2,0,0,0,-2,0,0,0,0,1
Devontez Walker,WR,1,21,1,1,0,21,1,100,0,0,3
Casey Washington,WR,1,14,0,0,0,14,1,100,0,11,2
Blake Watson,RB,1,13,0,0,0,13,0,0,0,18,2
Jared Wiley,TE,1,7,0,0,0,7,0,0,0,3,1
Shane Zylstra,TE,1,22,0,1,0,22,1,100,0,13,1
Rasheen Ali,RB,0,0,0,0,0,0,0,0,0,0,2
Josh Allen,QB,0,7,1,0,0,0,1,0,0,7,0
Brenden Bates,TE,0,0,0,0,0,0,0,0,0,0,1
Andrew Beck,RB,0,0,0,0,0,0,0,0,0,0,2
Braxton Berrios,WR,0,0,0,0,0,0,0,0,0,0,4
Irvin Charles,WR,0,0,0,0,0,0,0,0,0,0,1
Baylor Cupp,TE,0,0,0,0,0,0,0,0,0,0,1
Erik Ezukanma,WR,0,0,0,0,0,0,0,0,0,0,2
Justin Fields,QB,0,0,0,0,0,0,0,0,0,0,0
Lamar Jackson,QB,0,0,0,0,0,0,0,0,0,0,0
Terrell Jennings,RB,0,0,0,0,0,0,0,0,0,0,1
Kameron Johnson,WR,0,0,0,0,0,0,0,0,0,0,1
Daniel Jones,QB,0,0,0,0,0,0,0,0,0,0,0
Tom Kennedy,WR,0,0,0,0,0,0,0,0,0,0,1
Trevor Lawrence,QB,0,-5,0,0,0,0,0,0,1,-5,0
Jordan Matthews,TE,0,0,0,0,0,0,0,0,0,0,1
Baker Mayfield,QB,0,0,0,0,0,0,0,0,0,0,0
Skyy Moore,WR,0,0,0,0,0,0,0,0,0,0,3
Justyn Ross,WR,0,0,0,0,0,0,0,0,0,0,1
C.J. Stroud,QB,0,0,0,0,0,0,0,0,0,0,1
Stephen Sullivan,TE,0,0,0,0,0,0,0,0,0,0,1
Tyrod Taylor,QB,0,0,0,0,0,0,0,0,0,0,0
Kadarius Toney,WR,0,0,0,0,0,0,0,0,0,0,1
Xavier Weaver,WR,0,0,0,0,0,0,0,0,0,0,2
Brayden Willis,TE,0,0,0,0,0,0,0,0,0,0,2
Bryce Young,QB,0,0,0,0,0,0,0,0,0,0,0
Dareke Young,WR,0,0,0,0,0,0,0,0,0,0,1
