Player,position,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Michael Wilson,WR,47,548,4,10,1,41,27,57.4,1,130,71
Romeo Doubs,WR,46,601,4,8,0,39,33,71.7,0,135,72
Rashod Bateman,WR,45,756,9,11,4,59,35,77.8,0,184,72
Austin Hooper,TE,45,476,3,5,0,38,25,55.6,2,225,59
Olamide Zaccheaus,WR,45,506,3,5,2,49,26,57.8,0,284,64
Amari Cooper,WR,44,547,4,8,0,30,24,54.6,0,111,85
Dalton Kincaid,TE,44,448,2,5,0,29,23,52.3,1,274,75
Kayshon Boutte,WR,43,589,3,11,2,48,25,58.1,0,150,68
Chuba Hubbard,RB,43,171,1,1,0,20,10,23.3,3,245,54
Tutu Atwell,WR,42,562,0,10,1,50,29,69,0,104,62
Zach Charbonnet,RB,42,340,1,4,0,30,8,19,0,377,52
Dallas Goedert,TE,42,496,2,6,2,61,20,47.6,2,257,52
Justice Hill,RB,42,383,3,3,0,27,17,40.5,0,438,51
Isaiah Likely,TE,42,477,6,4,2,49,26,61.9,1,256,58
D'Andre Swift,RB,42,386,0,5,1,42,12,28.6,1,405,52
T.J. Hockenson,TE,41,455,0,5,0,34,30,73.2,0,145,62
Tony Pollard,RB,41,238,0,2,0,30,9,22,0,221,57
Devaughn Vele,WR,41,475,3,7,0,37,26,63.4,0,127,55
Ameer Abdullah,RB,40,261,3,1,0,24,16,40,0,252,47
Jordan Akins,TE,40,390,2,3,0,21,20,50,1,177,58
Noah Gray,TE,40,437,5,6,0,35,25,62.5,0,210,49
Brenton Strange,TE,40,411,2,7,0,30,21,52.5,1,183,53
Tyler Boyd,WR,39,390,0,4,1,40,20,51.3,0,189,57
Rico Dowdle,RB,39,249,3,1,0,22,13,33.3,0,272,49
Travis Etienne,RB,39,254,0,2,0,26,13,33.3,0,296,52
Darius Slayton,WR,39,573,2,9,2,43,30,76.9,0,124,71
Dontayvion Wicks,WR,39,415,5,4,0,36,25,64.1,0,139,76
Jaylen Warren,RB,38,310,0,3,0,29,16,42.1,1,315,47
Greg Dortch,WR,37,342,3,2,0,39,16,43.2,1,294,50
Jerome Ford,RB,37,225,0,3,0,26,10,27,0,294,43
Allen Lazard,WR,37,530,6,8,2,52,29,78.4,0,155,60
Jalen McMillan,WR,37,461,8,8,0,33,23,62.2,0,133,58
Alec Pierce,WR,37,824,7,13,7,65,32,86.5,0,118,69
Najee Harris,RB,36,283,0,4,0,32,13,36.1,0,329,48
Andrei Iosivas,WR,36,479,6,7,0,39,26,72.2,0,67,61
Josh Jacobs,RB,36,342,1,5,1,49,15,41.7,0,403,43
Alexander Mattison,RB,36,294,1,3,0,31,13,36.1,0,314,48
Joe Mixon,RB,36,309,1,4,0,37,12,33.3,0,360,52
David Montgomery,RB,36,341,0,2,1,40,16,44.4,0,365,38
Noah Brown,WR,35,453,1,4,1,52,21,60,0,83,56
Austin Ekeler,RB,35,366,0,8,0,34,14,40,1,424,41
Kyren Williams,RB,34,182,2,1,0,26,6,17.6,0,179,40
Saquon Barkley,RB,33,278,2,4,1,43,12,36.4,0,245,43
Diontae Johnson,WR,33,375,3,5,0,39,21,63.6,0,91,67
Tim Patrick,WR,33,394,3,6,1,42,20,60.6,0,141,44
Ja'Tavion Sanders,TE,33,342,1,6,1,46,13,39.4,1,190,43
Rhamondre Stevenson,RB,33,168,1,0,0,16,8,24.2,1,237,41
Jalen Coker,WR,32,478,2,6,1,83,23,71.9,0,171,46
James Cook,RB,32,258,2,3,0,28,14,43.8,0,260,38
J.K. Dobbins,RB,32,153,0,0,0,15,6,18.8,0,204,38
David Moore,WR,32,351,3,2,0,21,18,56.2,0,60,57
Foster Moreau,TE,32,413,5,7,1,41,21,65.6,0,158,43
Chris Olave,WR,32,400,1,4,0,39,22,68.8,1,121,44
Sterling Shepard,WR,32,334,1,4,0,30,16,50,0,99,51
Parker Washington,WR,32,390,3,6,0,30,19,59.4,1,108,51
Nick Westbrook-Ikhine,WR,32,497,9,4,1,98,25,78.1,0,124,60
Mack Hollins,WR,31,378,5,4,1,44,25,80.6,0,90,50
Lil'Jordan Humphrey,WR,31,293,1,5,1,41,12,38.7,2,192,45
Ricky Pearsall,WR,31,400,3,5,2,46,19,61.3,0,114,46
Demarcus Robinson,WR,31,505,7,9,2,46,27,87.1,0,61,64
Curtis Samuel,WR,31,253,1,2,0,38,9,29,0,160,46
KaVontae Turpin,WR,31,420,2,6,1,64,18,58.1,1,260,52
AJ Barner,TE,30,245,4,1,0,20,18,60,0,164,38
Dyami Brown,WR,30,308,1,5,2,51,13,43.3,1,218,40
Colby Parkinson,TE,30,294,1,2,0,23,15,50,0,152,49
Tyjae Spears,RB,30,224,1,2,1,43,9,30,0,255,35
Keon Coleman,WR,29,556,4,12,4,64,22,75.9,0,215,57
Theo Johnson,TE,29,331,1,4,0,35,16,55.2,0,149,43
