scenario_id,variant,model,points_change_A,points_change_B,fit_change_A,fit_change_B,mutual_benefit,trade_balance,offer_value,ask_value,tom_keywords,perspective_taking,need_analysis,mutual_consideration,reasoning_depth,total_tom_score,reasoning_length,team_a_mentions,team_b_mentions,team_balance,justification_score,specific_benefits
0,tom,gpt-4o,-12.099999999999994,12.099999999999966,-0.0020711102661086223,-0.0016963540627906726,0,0.5655080213903743,29.919999999999998,16.919999999999998,2,1,0,1,0,4,83,2,3,0.4,2,0
0,tom,claude-3.5-sonnet,0.0,0.0,-0.005603937351035038,-0.006187976696630071,1,0.9048387096774193,39.269999999999996,43.4,5,1,1,3,1,11,75,1,2,0.3333333333333333,2,1
0,tom,gemini-2.5-pro,4.199999999999989,-4.2000000000000455,0.0,0.0,0,0.8281786941580755,28.919999999999998,34.92,2,0,0,2,1,5,99,1,2,0.3333333333333333,3,0
0,baseline,gpt-4o,-11.099999999999994,11.099999999999966,-0.009399009398514235,-0.008515791516317428,0,0.655813953488372,25.8,16.919999999999998,2,0,1,0,0,3,66,2,2,0.5,2,0
0,baseline,claude-3.5-sonnet,0.0,0.0,-0.005603937351035038,-0.006187976696630071,1,0.9048387096774193,39.269999999999996,43.4,1,0,0,0,0,1,40,2,0,0.0,2,0
0,baseline,gemini-2.5-pro,-5.800000000000011,5.7999999999999545,-0.005603937351035038,-0.006187976696630071,0,0.9212711136558832,34.93,32.18,2,0,0,2,1,5,65,1,2,0.3333333333333333,3,0
10,tom,gpt-4o,-4.399999999999977,4.400000000000034,-0.0020711102661086223,-0.0016963540627906726,0,0.8168067226890756,23.799999999999997,19.439999999999998,2,2,0,0,0,4,95,3,3,0.5,2,0
10,tom,claude-3.5-sonnet,-7.699999999999989,7.7000000000000455,-0.0029455144984184,-0.0026662764084344204,0,0.7628344179320318,41.49,31.65,6,1,0,2,1,10,79,1,2,0.3333333333333333,2,0
10,tom,gemini-2.5-pro,-0.29999999999998295,0.30000000000001137,-0.006192010000093506,-0.006192010000093506,1,0.9702172389628593,27.69,28.54,1,0,0,2,1,4,120,2,2,0.5,2,0
10,baseline,gpt-4o,-7.399999999999977,7.400000000000034,-0.0020711102661086223,-0.0016963540627906726,0,0.7173431734317341,27.1,19.439999999999998,1,1,0,0,0,2,59,3,2,0.4,2,0
10,baseline,claude-3.5-sonnet,6.900000000000006,-6.899999999999977,0.0,0.0,0,0.8194746197906381,41.49,50.629999999999995,3,0,1,1,1,6,53,1,0,0.0,2,1
10,baseline,gemini-2.5-pro,0.0,0.0,0.0,0.0,1,0.9798541160125044,28.21,28.79,5,0,1,1,1,8,92,2,2,0.5,3,0
11,tom,gpt-4o,-4.200000000000017,4.200000000000017,-0.0020711102661086223,-0.0016963540627906726,0,0.8473372781065087,25.35,21.479999999999997,2,1,0,1,0,4,70,2,2,0.5,2,0
11,tom,claude-3.5-sonnet,-0.10000000000002274,0.09999999999999432,0.0,0.0,1,0.9933262146289376,37.46,37.21,2,1,0,1,0,4,37,1,1,0.5,2,1
11,tom,gemini-2.5-pro,3.0,-3.0,-0.006192010000093506,-0.006192010000093506,0,0.861344537815126,32.8,38.08,4,1,1,2,0,8,89,2,2,0.5,3,2
11,baseline,gpt-4o,-4.200000000000017,4.200000000000017,-0.0020711102661086223,-0.0016963540627906726,0,0.8473372781065087,25.35,21.479999999999997,2,0,0,0,0,2,73,3,1,0.25,2,0
11,baseline,claude-3.5-sonnet,0.19999999999998863,-0.19999999999998863,0.0,0.0,1,0.9972820811492915,51.370000000000005,51.51,2,0,0,0,0,2,54,2,0,0.0,1,2
11,baseline,gemini-2.5-pro,4.5,-4.5,-0.005630826364807495,-0.007582705546232749,0,0.7026205848841625,18.5,26.330000000000002,2,0,0,1,1,4,83,2,2,0.5,3,0
12,tom,gpt-4o,-6.700000000000017,6.699999999999989,0.0,0.0,0,0.7997895290712969,38.010000000000005,30.4,6,2,0,1,1,10,88,2,3,0.4,3,0
12,tom,claude-3.5-sonnet,-2.3000000000000114,2.3000000000000114,0.0,0.0,0,0.9189842805320435,33.08,30.4,5,1,1,2,0,9,80,2,3,0.4,5,1
12,tom,gemini-2.5-pro,-3.3000000000000114,3.3000000000000114,-0.005603937351035038,-0.006187976696630071,0,0.8094384707287934,33.48,27.1,3,0,1,2,0,6,122,2,1,0.3333333333333333,2,0
12,baseline,gpt-4o,-19.600000000000023,19.600000000000023,-0.0020711102661086223,-0.0016963540627906726,0,0.38779268613522755,38.010000000000005,14.740000000000002,1,0,0,0,0,1,41,2,0,0.0,2,0
12,baseline,claude-3.5-sonnet,-1.1000000000000227,1.0999999999999943,0.0,0.0,1,0.9570737605804112,33.08,31.66,1,0,1,0,1,3,48,1,0,0.0,1,0
12,baseline,gemini-2.5-pro,-8.400000000000034,8.400000000000006,-0.009399009398514235,-0.008515791516317428,0,0.5411160058737151,27.240000000000002,14.740000000000002,1,0,0,0,1,2,80,3,1,0.25,3,0
13,tom,gpt-4o,13.100000000000023,-13.100000000000023,0.0,0.0,0,0.5219047619047619,16.439999999999998,31.5,3,1,0,0,0,4,96,2,3,0.4,1,1
13,tom,claude-3.5-sonnet,-0.10000000000002274,0.09999999999999432,-0.0029455144984184,-0.0026662764084344204,1,0.9202380952380952,33.6,30.919999999999998,3,0,1,1,0,5,64,1,0,0.0,2,0
13,tom,gemini-2.5-pro,-2.8000000000000114,2.799999999999983,-0.005603937351035038,-0.006187976696630071,0,0.8648951048951048,35.75,30.919999999999998,0,1,0,0,0,1,55,1,1,0.5,2,0
13,baseline,gpt-4o,13.100000000000023,-13.100000000000023,0.0,0.0,0,0.5219047619047619,16.439999999999998,31.5,0,0,0,0,1,1,47,2,0,0.0,2,0
13,baseline,claude-3.5-sonnet,-0.10000000000002274,0.09999999999999432,-0.0029455144984184,-0.0026662764084344204,1,0.9202380952380952,33.6,30.919999999999998,0,0,2,0,1,3,47,0,0,0.0,2,0
13,baseline,gemini-2.5-pro,0.8000000000000114,-0.8000000000000114,-0.005603937351035038,-0.006187976696630071,1,0.9422885572139301,40.2,37.879999999999995,4,1,2,3,0,10,76,1,1,0.5,2,0
14,tom,gpt-4o,-6.099999999999994,6.099999999999966,-0.0020711102661086223,-0.0016963540627906726,0,0.74206672091131,24.58,18.24,2,1,0,1,0,4,97,3,3,0.5,3,0
14,tom,claude-3.5-sonnet,-0.09999999999999432,0.09999999999999432,-0.0029455144984184,-0.0026662764084344204,1,0.9859719438877755,34.93,34.44,5,0,1,2,0,8,56,1,1,0.5,4,0
14,tom,gemini-2.5-pro,-2.0,2.0,-0.006187976696630071,-0.005603937351035038,0,0.9957050823192555,13.97,13.91,4,0,0,2,1,7,90,2,2,0.5,2,0
14,baseline,gpt-4o,-6.099999999999994,6.099999999999966,-0.0020711102661086223,-0.0016963540627906726,0,0.74206672091131,24.58,18.24,1,0,0,0,0,1,58,2,1,0.3333333333333333,2,0
14,baseline,claude-3.5-sonnet,10.599999999999994,-10.600000000000023,0.0,0.0,0,0.7224405377456049,34.93,48.35,0,1,1,0,0,2,54,1,1,0.5,2,2
14,baseline,gemini-2.5-pro,-5.400000000000006,5.399999999999977,-0.006192010000093506,-0.006192010000093506,0,0.9228668941979523,29.299999999999997,27.04,2,1,1,0,0,4,80,3,2,0.4,3,0
15,tom,gpt-4o,-12.800000000000011,12.800000000000011,-0.0020711102661086223,-0.0016963540627906726,0,0.5178389398572885,29.43,15.239999999999998,5,0,0,2,0,7,81,3,2,0.4,3,0
15,tom,claude-3.5-sonnet,4.0,-4.0,0.0,0.0,0,0.8585732165206509,27.44,31.959999999999997,2,0,1,1,0,4,81,2,2,0.5,2,1
15,tom,gemini-2.5-pro,1.3000000000000114,-1.3000000000000114,-0.005603937351035038,-0.006187976696630071,1,0.998122653316646,31.900000000000002,31.959999999999997,1,0,0,1,1,3,84,1,2,0.3333333333333333,3,0
15,baseline,gpt-4o,-9.199999999999989,9.199999999999989,-0.0020711102661086223,-0.0016963540627906726,0,0.6646279306829765,29.43,19.56,1,0,0,0,0,1,57,2,1,0.3333333333333333,2,0
15,baseline,claude-3.5-sonnet,-5.199999999999989,5.199999999999989,-0.0029455144984184,-0.0026662764084344204,0,0.8111675126903553,39.4,31.959999999999997,2,0,1,0,0,3,67,1,2,0.3333333333333333,2,1
15,baseline,gemini-2.5-pro,-5.199999999999989,5.199999999999989,-0.005603937351035038,-0.006187976696630071,0,0.9028248587570621,35.4,31.959999999999997,1,1,1,0,0,3,65,2,2,0.5,3,1
16,tom,gpt-4o,4.300000000000011,-4.2999999999999545,-0.0020711102661086223,-0.0016963540627906726,0,0.6521739130434784,10.8,16.56,4,1,2,1,0,8,79,3,3,0.5,2,0
16,tom,claude-3.5-sonnet,-8.5,8.5,-0.0029455144984184,-0.0026662764084344204,0,0.7356589147286821,38.7,28.47,3,2,2,2,1,10,70,2,2,0.5,4,1
16,tom,gemini-2.5-pro,-4.099999999999994,4.100000000000023,-0.009399009398514235,-0.008515791516317428,0,0.8314606741573033,26.700000000000003,22.2,1,0,0,0,0,1,60,1,1,0.5,3,0
16,baseline,gpt-4o,-6.799999999999983,6.800000000000011,-0.0029455144984184,-0.0026662764084344204,0,0.8371040723981901,26.52,22.2,0,0,1,0,0,1,49,2,2,0.5,2,0
16,baseline,claude-3.5-sonnet,0.09999999999999432,-0.0999999999999659,-0.0029455144984184,-0.0026662764084344204,1,0.9736662106703147,29.24,28.47,0,0,0,0,0,0,41,2,0,0.0,2,1
16,baseline,gemini-2.5-pro,-12.599999999999994,12.600000000000023,-0.009399009398514235,-0.008515791516317428,0,0.6967509025270757,33.24,23.16,2,0,0,0,0,2,80,2,2,0.5,2,0
17,tom,gpt-4o,-4.5,4.5,-0.0020711102661086223,-0.0016963540627906726,0,0.7135135135135137,22.2,15.840000000000002,4,0,0,2,0,6,86,2,3,0.4,3,0
17,tom,claude-3.5-sonnet,4.5,-4.5,0.0,0.0,0,0.8707081545064378,32.46,37.28,5,0,0,3,0,8,77,2,1,0.3333333333333333,2,0
17,tom,gemini-2.5-pro,-6.699999999999989,6.699999999999989,-0.009399009398514235,-0.008515791516317428,0,0.6002273588480486,26.39,15.840000000000002,5,1,0,2,0,8,133,1,3,0.25,3,1
17,baseline,gpt-4o,-4.5,4.5,-0.0020711102661086223,-0.0016963540627906726,0,0.7135135135135137,22.2,15.840000000000002,2,1,0,0,0,3,55,2,2,0.5,2,0
17,baseline,claude-3.5-sonnet,-1.8999999999999773,1.9000000000000057,-0.0029455144984184,-0.0026662764084344204,1,0.9152469268923873,46.37,42.44,0,0,1,0,0,1,76,1,1,0.5,2,0
17,baseline,gemini-2.5-pro,-1.0,1.0,-0.005603937351035038,-0.006187976696630071,1,0.9635036496350364,31.68,32.88,2,1,0,1,2,6,92,1,1,0.5,2,0
18,tom,gpt-4o,-6.300000000000011,6.2999999999999545,-0.0020711102661086223,-0.0016963540627906726,0,0.776572668112798,27.660000000000004,21.479999999999997,2,0,0,1,1,4,96,2,4,0.3333333333333333,2,0
18,tom,claude-3.5-sonnet,5.099999999999994,-5.100000000000023,0.0,0.0,0,0.8721222673631264,45.08,51.69,4,1,2,2,0,9,100,2,2,0.5,3,1
18,tom,gemini-2.5-pro,-4.400000000000006,4.399999999999977,-0.0020711102661086223,-0.0016963540627906726,0,0.8215035699286013,23.810000000000002,19.56,1,0,0,1,1,3,83,1,1,0.5,2,0
18,baseline,gpt-4o,-6.5,6.5,-0.009399009398514235,-0.008515791516317428,0,0.7417127071823203,28.96,21.479999999999997,0,0,0,0,0,0,47,2,1,0.3333333333333333,2,0
18,baseline,claude-3.5-sonnet,-5.400000000000006,5.399999999999977,-0.0029455144984184,-0.0026662764084344204,0,0.9254658385093167,45.08,41.72,1,0,1,0,0,2,43,0,0,0.0,2,0
18,baseline,gemini-2.5-pro,-1.4000000000000057,1.3999999999999773,-0.005603937351035038,-0.006187976696630071,1,0.9473684210526316,31.68,33.44,2,0,1,0,0,3,60,1,1,0.5,3,0
19,tom,gpt-4o,1.6999999999999886,-1.700000000000017,-0.0020711102661086223,-0.0016963540627906726,1,0.8742690058479533,17.94,20.52,1,1,0,1,0,3,89,3,3,0.5,3,0
19,tom,claude-3.5-sonnet,4.399999999999977,-4.400000000000006,-0.0029455144984184,-0.0026662764084344204,0,0.8922388059701493,29.89,33.5,4,1,1,0,2,8,82,2,4,0.3333333333333333,3,1
19,tom,gemini-2.5-pro,-1.8000000000000114,1.799999999999983,-0.006192010000093506,-0.006192010000093506,1,0.8004694835680753,17.04,13.640000000000002,3,0,0,1,0,4,86,2,2,0.5,2,0
19,baseline,gpt-4o,1.6999999999999886,-1.700000000000017,-0.0020711102661086223,-0.0016963540627906726,1,0.8742690058479533,17.94,20.52,1,0,0,0,0,1,67,3,2,0.4,3,0
19,baseline,claude-3.5-sonnet,3.7999999999999545,-3.8000000000000114,-0.0029455144984184,-0.0026662764084344204,0,0.9119402985074627,30.55,33.5,0,0,0,0,1,1,50,0,0,0.0,2,0
19,baseline,gemini-2.5-pro,1.3999999999999773,-1.4000000000000057,0.0,0.0,1,0.9453731343283582,31.67,33.5,1,0,0,2,0,3,65,1,1,0.5,2,0
1,tom,gpt-4o,-16.099999999999994,16.100000000000023,-0.0020711102661086223,-0.0016963540627906726,0,0.5015479876160991,38.76,19.439999999999998,3,2,0,0,0,5,112,3,5,0.375,2,1
1,tom,claude-3.5-sonnet,-19.599999999999994,19.600000000000023,-0.0029455144984184,-0.0026662764084344204,0,0.6645994832041343,58.050000000000004,38.58,3,1,0,3,0,7,83,2,2,0.5,4,1
1,tom,gemini-2.5-pro,-8.099999999999994,8.100000000000023,-0.005603937351035038,-0.006187976696630071,0,0.8150324775750076,32.330000000000005,26.35,2,0,0,0,1,3,80,2,3,0.4,1,0
1,baseline,gpt-4o,-11.899999999999977,11.900000000000006,-0.0020711102661086223,-0.0016963540627906726,0,0.5765124555160142,33.72,19.439999999999998,2,0,0,0,0,2,65,2,2,0.5,3,0
